Serial,Anio,FechaRegistro,Ciudad,Direccion,ValorTasado,MontoVenta,RatioVenta,TipoPropiedad,TipoResidencial,codigoNoUso,observaciones,observacionesOPM,ubicacion,,,,,
223412,2022,07/13/2023,Newington,74 STARR AVE,145590.00,200500.00,0.7261,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.730221028 41.714114017),,,,,
223411,2022,07/13/2023,Newington,10 WAVERLY DR,395750.00,640000.00,0.6183,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.716261974 41.669483987),,,,,
223410,2022,07/13/2023,Newington,119 CAMBRIA AVE,110140.00,238000.00,0.4627,Residential,Single Family,,,,POINT (-72.725319961 41.693413021),,,,,
22341,2022,09/26/2023,Montville,33-41 MASSAPEAG SIDE RD,42000.00,49500.00,0.8484,Vacant Land,,08 - Part Interest,SALE OF PARTIAL INTEREST,,POINT (-72.077783866 41.459846598),,,,,
22341,2022,09/05/2023,Watertown,60 SEMINOLE ROAD,93200.00,225000.00,0.4142,Residential,Single Family,,,,POINT (-73.136047969 41.584352013),,,,,
22341,2022,06/30/2023,Old Saybrook,6 SOUTH ST,41900.00,50000.00,0.8380,Vacant Land,,14 - Foreclosure,,,POINT (-72.372341003 41.281887014),,,,,
223409,2022,07/12/2023,Newington,114 INDIAN HILL RD,169440.00,440000.00,0.3850,Residential,Single Family,,,,POINT (-72.736242 41.685211999),,,,,
223408,2022,07/12/2023,Newington,93 CHENEY LN,150420.00,200000.00,0.7521,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.717217008 41.689213981),,,,,
223407,2022,07/12/2023,Newington,93 CHENEY LN,150420.00,140000.00,1.0744,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.717217008 41.689213981),,,,,
223406,2022,07/11/2023,Newington,32 PATRIOT LN,207060.00,540890.00,0.3828,Residential,Single Family,,,,POINT (-72.740087031 41.671832009),,,,,
223405,2022,07/11/2023,Newington,331 CHURCHILL DR,104020.00,240000.00,0.4334,Residential,Condo,,,,POINT (-72.716418967 41.676654998),,,,,
223404,2022,07/11/2023,Newington,249 WILLIAMSTOWN CT,64380.00,123375.00,0.5218,Residential,Condo,14 - Foreclosure,,,POINT (-72.721820014 41.716298005),,,,,
223403,2022,07/11/2023,Newington,11 BURDON LN,210800.00,300000.00,0.7026,Residential,Single Family,25 - Other,SHORT SALE,,POINT (-72.740216028 41.693599979),,,,,
223402,2022,07/11/2023,Newington,185 ORCHARD AVE,176180.00,400000.00,0.4404,Residential,Single Family,,,,POINT (-72.744778969 41.654506992),,,,,
223401,2022,07/10/2023,Newington,32 BUCK ST,80960.00,200000.00,0.4048,Residential,Single Family,,,,POINT (-72.718950972 41.701108991),,,,,
223400,2022,07/10/2023,Newington,104 HAROLD DR,255040.00,562000.00,0.4538,Residential,Single Family,,,,POINT (-72.706091037 41.684402014),,,,,
22340,2022,09/26/2023,Montville,33-41 MASSAPEAG SIDE RD,42000.00,49500.00,0.8484,Vacant Land,,08 - Part Interest,SALE OF PARTIAL INTEREST,,POINT (-72.077783866 41.459846598),,,,,
22340,2022,09/01/2023,Watertown,361 KIMBELY LANE,302000.00,648300.00,0.4658,Residential,Single Family,,,,POINT (-73.110292979 41.58067898),,,,,
22340,2022,06/16/2023,Old Saybrook,7 BUCK HILL RD,245700.00,540000.00,0.4550,Residential,Single Family,25 - Other,,DUPLICATE ENTRY - ALSO SEE #22332,POINT (-72.417772008 41.293646992),,,,,
22340,2022,01/31/2023,Milford,272 MEADOWS END RD,204510.00,295000.00,0.6932,Residential,Single Family,,,,POINT (-73.086106997 41.201462988),,,,,
2234,2022,11/04/2022,North Haven,14 LEIGHTON CT,236590.00,519000.00,0.4558,Residential,Single Family,,,,POINT (-72.856906034 41.422929005),,,,,
223399,2022,07/10/2023,Newington,26 WOODS WAY,205720.00,385000.00,0.5343,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.703420982 41.681540013),,,,,
223398,2022,07/10/2023,Newington,29 BARN HILL LN,298500.00,575000.00,0.5191,Residential,Single Family,,,,POINT (-72.714140011 41.665602998),,,,,
223397,2022,07/10/2023,Newington,66 TREMONT ST,308490.00,560000.00,0.5508,Residential,Single Family,,,,POINT (-72.751226999 41.667122008),,,,,
223396,2022,07/10/2023,Newington,595 CHURCHILL DR,114060.00,255000.00,0.4472,Residential,Condo,25 - Other,as is sale,,POINT (-72.71656498 41.678226982),,,,,
223395,2022,07/10/2023,Newington,97 COTTONWOOD RD,91990.00,195000.00,0.4717,Residential,Condo,25 - Other,subject to probate,,POINT (-72.70273199 41.677320018),,,,,
223394,2022,07/10/2023,Newington,146 STERLING DR,219140.00,405000.00,0.5410,Residential,Condo,,,,POINT (-72.751593959 41.70824702),,,,,
223393,2022,07/07/2023,Newington,99 MAPLE HILL AVE,172890.00,370000.00,0.4672,Residential,Single Family,25 - Other,AS IS SALE,,POINT (-72.745093039 41.691868991),,,,,
223392,2022,07/06/2023,Newington,169 MOYLAN CT,64380.00,180100.00,0.3575,Residential,Condo,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.725417024 41.713832008),,,,,
223391,2022,07/06/2023,Newington,22 ELLIOTT LN,163670.00,333100.00,0.4913,Residential,Single Family,25 - Other,AS IS SALE,,POINT (-72.743544985 41.71315102),,,,,
223390,2022,07/05/2023,Newington,81 HARVEST CT,259660.00,480000.00,0.5409,Residential,Condo,,,,POINT (-72.717026326 41.665092532),,,,,
22339,2022,09/26/2023,Montville,40 MASSAPEAG SIDE RD,214410.00,154500.00,1.3877,Residential,Single Family,08 - Part Interest,SALE OF PARTIAL INTEREST,,POINT (-72.079391979 41.460321011),,,,,
22339,2022,09/01/2023,Watertown,109 PAWNEE ROAD,80400.00,362000.00,0.2221,Residential,Single Family,,,LAKEFRONT,POINT (-73.13463696 41.587603018),,,,,
22339,2022,06/16/2023,Old Saybrook,12 MAPLE AVE,113000.00,300000.00,0.3767,Residential,Single Family,25 - Other,,DUPLICATE ENTRY - ALSO SEE #22333,POINT (-72.372320971 41.282775999),,,,,
223389,2022,07/05/2023,Newington,627 CHURCHILL DR,121650.00,255000.00,0.4770,Residential,Condo,,,,POINT (-72.715890991 41.678243997),,,,,
223388,2022,07/03/2023,Newington,172 CARR AVE,157600.00,345000.00,0.4568,Residential,Single Family,07 - Change in Property,SIGNIFICANT IMPROVEMENT SUBSEQUENT TO ASSESSMENT,,POINT (-72.752384959 41.668010993),,,,,
223387,2022,07/03/2023,Newington,71 EDDY LN,236460.00,470000.00,0.5031,Residential,Single Family,07 - Change in Property,SIGNIFICANT IMPROVEMENT SUBSEQUENT TO ASSESSMENT,,POINT (-72.746530032 41.666074983),,,,,
223386,2022,07/03/2023,Newington,1543 WILLARD AVE,189660.00,383500.00,0.4946,Residential,Single Family,07 - Change in Property,SIGNIFICANT IMPROVEMENT SUBSEQUENT TO ASSESSMENT,,POINT (-72.728333004 41.669214005),,,,,
223385,2022,07/03/2023,Newington,414 CYPRESS RD,102700.00,241414.00,0.4254,Residential,Condo,,,,POINT (-72.706097994 41.678770004),,,,,
223384,2022,07/03/2023,Newington,258 DEMING ST,127750.00,766667.00,0.1666,Residential,Single Family,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.717354974 41.662269012),,,,,
223383,2022,07/03/2023,Newington,69 CULVER ST,132200.00,766667.00,0.1724,Vacant Land,,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.716736738 41.660335122),,,,,
223382,2022,07/03/2023,Newington,67 CULVER ST,34280.00,766667.00,0.0447,Vacant Land,,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.716765589 41.660487035),,,,,
223381,2022,07/03/2023,Newington,35 CULVER ST,103050.00,766667.00,0.1344,Vacant Land,,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.718172964 41.661529016),,,,,
223380,2022,07/03/2023,Newington,258 DEMING ST,127750.00,1533333.00,0.0833,Residential,Single Family,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.717354974 41.662269012),,,,,
22338,2022,09/26/2023,Montville,40 MASSAPEAG SIDE RD,214410.00,127400.00,1.6829,Residential,Single Family,08 - Part Interest,SALE OF PARTIAL INTEREST,,POINT (-72.079391979 41.460321011),,,,,
22338,2022,08/31/2023,Watertown,76 EATON STREET,176200.00,360000.00,0.4894,Residential,Single Family,,,,POINT (-73.084876031 41.602114021),,,,,
22338,2022,06/21/2023,Old Saybrook,1 TRAILS END,394400.00,800000.00,0.4930,Residential,Single Family,,,,POINT (-72.374002967 41.278107991),,,,,
223379,2022,07/03/2023,Newington,69 CULVER ST,132200.00,1533333.00,0.0862,Vacant Land,,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.716736738 41.660335122),,,,,
223378,2022,07/03/2023,Newington,67 CULVER ST,34280.00,1533333.00,0.0224,Vacant Land,,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.716765589 41.660487035),,,,,
223377,2022,07/03/2023,Newington,35 CULVER ST,103050.00,1533333.00,0.0672,Vacant Land,,25 - Other,SALE OF PORTION OF MULTIPLE PARCELS,,POINT (-72.718172964 41.661529016),,,,,
223376,2022,07/03/2023,Newington,91 WINDMILL LN,164560.00,225000.00,0.7314,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.742892035 41.666477021),,,,,
223375,2022,06/30/2023,Newington,174 GLENVIEW DR,166030.00,335000.00,0.4956,Residential,Single Family,,,,POINT (-72.729545027 41.679705005),,,,,
223374,2022,06/30/2023,Newington,88 CYPRESS RD,100250.00,262000.00,0.3826,Residential,Condo,07 - Change in Property,SIGNIFICANT IMPROVEMENT SUBSEQUENT TO ASSESSMENT,,POINT (-72.702398977 41.67910901),,,,,
223373,2022,06/30/2023,Newington,25 STUART ST,129780.00,190000.00,0.6830,Residential,Single Family,25 - Other,DEFERRED MAINTENANCE,,POINT (-72.737614034 41.681037979),,,,,
223372,2022,06/30/2023,Newington,161 MARLBOROUGH ST,144040.00,349500.00,0.4121,Residential,Single Family,,,,POINT (-72.746132981 41.669215011),,,,,
223371,2022,06/29/2023,Newington,16 JOHNSON ST,126220.00,36323.00,3.4749,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.73821904 41.681159014),,,,,
223370,2022,06/29/2023,Newington,75 IVY LN,173950.00,365000.00,0.4765,Residential,Single Family,,,,POINT (-72.712935029 41.691651983),,,,,
22337,2022,09/26/2023,Montville,40 MASSAPEAG SIDE RD,214410.00,27100.00,7.9118,Residential,Single Family,08 - Part Interest,SALE OF PARTIAL INTEREST,,POINT (-72.079391979 41.460321011),,,,,
22337,2022,08/31/2023,Watertown,164 BUCKINGHAM STREET,100700.00,89459.00,1.1256,Residential,Single Family,08 - Part Interest,,,POINT (-73.083594019 41.59157998),,,POINT (-72.822488012 41.541505988),,,,
22337,2022,06/30/2023,Old Saybrook,1 PHEASANT HILL LA,328700.00,646000.00,0.5088,Residential,Single Family,,,,POINT (-72.403098984 41.311995984),,,,,
223369,2022,06/29/2023,Newington,22 PARKER ST,116100.00,270000.00,0.4300,Residential,Single Family,,,,POINT (-72.725357009 41.684026002),,,,,
223368,2022,06/29/2023,Newington,35 MONTE VISTA AVE,80740.00,158000.00,0.5110,Residential,Single Family,14 - Foreclosure,,,POINT (-72.752356964 41.679039985),,,,,
223367,2022,06/28/2023,Newington,827 MAIN ST,117300.00,318000.00,0.3689,Residential,Single Family,07 - Change in Property,SIGNIFICANT IMPROVEMENT SUBSEQUENT TO ASSESSMENT,,POINT (-72.724864992 41.700359984),,,,,
223366,2022,06/28/2023,Newington,28 LAWTON AVE,127520.00,225000.00,0.5667,Residential,Single Family,25 - Other,AS IS SALE,,POINT (-72.723344012 41.684488012),,,,,
223365,2022,06/28/2023,Newington,321 CANDLEWYCK DR,220270.00,515000.00,0.4277,Residential,Single Family,,,,POINT (-72.70710399 41.658016998),,,,,
223364,2022,06/28/2023,Newington,42 RIDGEWOOD RD,182340.00,335000.00,0.5442,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.742029034 41.664916017),,,,,
223363,2022,06/28/2023,Newington,46 WAKELEY RD,142790.00,336000.00,0.4249,Residential,Single Family,,,,POINT (-72.713062015 41.689147009), CO-OP,,POINT (-72.908881515 41.376597979),,,,
223362,2022,06/27/2023,Newington,451 NEW BRITAIN AVE,327050.00,770000.00,0.4247,Commercial,,,,,POINT (-72.741218001 41.673404999),,,,,
223361,2022,06/27/2023,Newington,265 BACK LN,188540.00,335000.00,0.5628,Residential,Single Family,,,,POINT (-72.701760024 41.679807013),,,,,
223360,2022,06/27/2023,Newington,91 LYDALL RD,148970.00,290000.00,0.5136,Residential,Single Family,25 - Other,PROBATE SALE,,POINT (-72.71725699 41.688148012),,,,,
22336,2022,09/26/2023,Montville,267 MAPLE AVE,124180.00,289000.00,0.4296,Residential,Single Family,,,,POINT (-72.132105013 41.448491002),,,,,
22336,2022,08/31/2023,Watertown,164 BUCKINGHAM STREET,100700.00,89459.00,1.1256,Residential,Single Family,08 - Part Interest,,,POINT (-73.083594019 41.59157998),,,,,
22336,2022,06/30/2023,Old Saybrook,140 OLD BOSTON POST RD,231200.00,605000.00,0.3821,Residential,Single Family,,,,POINT (-72.385352986 41.286643996),,,,,
223359,2022,06/26/2023,Newington,6 TROUT BROOK CIR,211590.00,440000.00,0.4808,Residential,Single Family,,,,POINT (-72.70833504 41.654743991),,,,,
223358,2022,06/26/2023,Newington,23 RIDGEWAY ST,154650.00,331316.00,0.4667,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.739787964 41.680549985),,,,,
223357,2022,06/26/2023,Newington,5 PECKHAM FARM DR,61050.00,676600.00,0.0902,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION SINGLE FAMILY,,POINT (-72.723843 41.698002),,,,,
223356,2022,06/23/2023,Newington,3 SCHOOL HOUSE RD,176360.00,290000.00,0.6081,Residential,Single Family,01 - Family,,,POINT (-72.717640965 41.680958016),,,,,
223355,2022,06/23/2023,Newington,39 MAPLE HILL AVE,236660.00,522500.00,0.4529,Residential,Single Family,,,,POINT (-72.745426974 41.694438002),,,,,
223354,2022,06/22/2023,Newington,148 CAMBRIA AVE,130020.00,290000.00,0.4483,Residential,Single Family,07 - Change in Property,SIGNIFICANT IMPROVEMENT SUBSEQUENT TO ASSESSMENT,,POINT (-72.724970017 41.692401996),,,,,
223353,2022,06/22/2023,Newington,105 HARTFORD AVE,123740.00,286000.00,0.4326,Residential,Single Family,,,,POINT (-72.722167025 41.714714999),,,,,
223352,2022,06/21/2023,Newington,190 ASHLAND AVE,126740.00,325000.00,0.3899,Residential,Single Family,,,,POINT (-72.725469997 41.690803986),,,,,
223351,2022,06/21/2023,Newington,40 MONTE VISTA AVE,82020.00,184000.00,0.4458,Residential,Single Family,,,,POINT (-72.751864024 41.67923499),,,,,
223350,2022,06/21/2023,Newington,4 BITTERSWEET CT,197230.00,400000.00,0.4930,Residential,Condo,,,,POINT (-72.702879008 41.676189006),,,,,
22335,2022,09/25/2023,Montville,19 GEORGIA RD UN 6,36330.00,75000.00,0.4844,Residential,Condo,,,,POINT (-72.196322965 41.474726988),,,,,
22335,2022,08/31/2023,Watertown,164 BUCKINGHAM STREET,100700.00,22080.00,4.5606,Residential,Single Family,08 - Part Interest,,,POINT (-73.083594019 41.59157998),,,,,
22335,2022,06/29/2023,Old Saybrook,10 LYNDE ST,501800.00,635000.00,0.7902,Residential,Single Family,,,,POINT (-72.379353974 41.289085015),,,,,
223349,2022,06/20/2023,Newington,86 EAST ROBBINS AVE,172270.00,305000.00,0.5648,Residential,Single Family,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.717595032 41.687375997),,,,,
223348,2022,06/16/2023,Newington,34 EDDY LN,161780.00,300000.00,0.5392,Residential,Single Family,25 - Other,AS IS SALE,,POINT (-72.744723983 41.666562013),,,,,
223347,2022,06/16/2023,Newington,23 ROCKLEDGE DR,296700.00,600000.00,0.4945,Residential,Single Family,,,,POINT (-72.714530021 41.655830998),,,,,
223346,2022,09/27/2023,North Haven,690 MIDDLETOWN AVE,233100.00,400000.00,0.5827,Residential,Single Family,,,,POINT (-72.83291401 41.366904993),,,,,
223346,2022,06/15/2023,Newington,20 COBBLESONE CT,188880.00,718000.00,0.2630,Residential,Condo,25 - Other,NOT AN ARMS LENGTH TRANSACTION,,POINT (-72.717259001 41.65720299),,,,,
223345,2022,09/28/2023,North Haven,57 BLEEKER CIR,313630.00,579900.00,0.5408,Residential,Condo,07 - Change in Property,NOT COMPLETE ON 10/01/2022,,POINT (-72.8608944 41.388683),,,,,
223345,2022,06/14/2023,Newington,70 HARVEST CT,194560.00,372000.00,0.5230,Residential,Condo,,,,POINT (-72.717541673 41.665086173),,,,,
223344,2022,09/26/2023,North Haven,15 KNIGHT LN,285620.00,545000.00,0.5240,Residential,Single Family,,,,POINT (-72.822053997 41.376754987),,,,,
223344,2022,06/13/2023,Newington,126 NORTHWOOD RD,160320.00,380000.00,0.4218,Residential,Single Family,,,,POINT (-72.716770001 41.693117014),,,,,
223343,2022,09/25/2023,North Haven,55 COVENTRY CIR,156800.00,245000.00,0.6400,Residential,Single Family,14 - Foreclosure,,,POINT (-72.836124028 41.420288999),,,,,
223343,2022,06/13/2023,Newington,25 6A WOODSEDGE DR,67490.00,173000.00,0.3901,Residential,Condo,,,,POINT (-72.709056974 41.674290002),,,,,
223342,2022,09/25/2023,North Haven,1994 HARTFORD TPKE,205520.00,375000.00,0.5480,Residential,Single Family,,,,POINT (-72.858004986 41.425360009),,,,,
223342,2022,06/12/2023,Newington,30 KOWAL CT,156820.00,260000.00,0.6031,Residential,Condo,26 - Rehabilitation Deferred,,,POINT (-72.712692038 41.655036016),,,,,
223341,2022,09/25/2023,North Haven,38 BELVEDERE RD,207200.00,410000.00,0.5053,Residential,Single Family,,,,POINT (-72.858273961 41.345151021),,,,,
223341,2022,06/12/2023,Newington,479 NEW BRITAIN AVE,143830.00,270000.00,0.5327,Residential,Single Family,,,,POINT (-72.742288035 41.673372016),,,,,
223340,2022,09/20/2023,North Haven,102 DANIEL DR,257310.00,360100.00,0.7145,Residential,Condo,14 - Foreclosure,,,POINT (-72.867064985 41.323383009),,,,,
223340,2022,06/12/2023,Newington,161 BRENTWOOD RD,171100.00,395000.00,0.4331,Residential,Single Family,,,,POINT (-72.715091022 41.703731018),,,,,
22334,2022,09/22/2023,Montville,1 DESJARDINS DR,149940.00,330000.00,0.4543,Residential,Single Family,10 - A Will,ESTATE SALE PER WILL,,POINT (-72.110454977 41.494234987),,,,,
22334,2022,08/30/2023,Watertown,131 TUCKER AVENUE,178800.00,355000.00,0.5036,Residential,Single Family,,,,POINT (-73.09014104 41.596743987),,,,,
22334,2022,02/22/2023,Old Saybrook,21 AYERS POINT RD,355700.00,786430.00,0.4522,Residential,Single Family,,,,POINT (-72.36944296 41.323746993),,,,,
223339,2022,09/21/2023,North Haven,269 SPRING RD,295640.00,590000.00,0.5010,Residential,Single Family,,,,POINT (-72.847623999 41.370500997),,,,,
223339,2022,06/09/2023,Newington,111 WEBSTER CT,77220.00,198000.00,0.3900,Residential,Condo,,,,POINT (-72.721752959 41.652871013),,,,,
223338,2022,09/20/2023,North Haven,1954 HARTFOR TPKE,174470.00,157678.00,1.1064,Residential,Single Family,25 - Other,SOLD IN 2 PARTS WATTENTY DEED/TRUSTEES DEED,,POINT (-72.860427021 41.420593011),,,,,
223338,2022,06/07/2023,Newington,347 LLOYD ST,129770.00,240000.00,0.5407,Residential,Single Family,25 - Other,AS IS SALE POOR CONDITION,,POINT (-72.730443986 41.709508999),,,,,
223337,2022,09/20/2023,North Haven,51 PARK RD,148540.00,240000.00,0.6189,Residential,Single Family,,,,POINT (-72.844270986 41.403460988),,,,,
223337,2022,06/07/2023,Newington,65 STONEHEDGE DR,167590.00,340000.00,0.4929,Residential,Single Family,14 - Foreclosure,AS IS SALE FORECLOSURE,,POINT (-72.742763959 41.657785993),,,,,
223336,2022,09/19/2023,North Haven,49 LOMBARD CIR,322960.00,539535.00,0.5986,Residential,Condo,07 - Change in Property,NOT COMPLETE ON 10/01/2022,,POINT (-72.888563054 41.316387878),,,,,
223336,2022,06/07/2023,Newington,133 BUENA VISTA AVE,151140.00,325000.00,0.4650,Residential,Single Family,,,,POINT (-72.754786039 41.67903001),,,,,
223335,2022,09/19/2023,North Haven,47 TEMPLE ST,189600.00,460000.00,0.4121,Residential,Single Family,,,,POINT (-72.840388991 41.406524992),,,,,
223335,2022,06/07/2023,Newington,68 HUNTERS LN,127880.00,249900.00,0.5117,Residential,Condo,,,,POINT (-72.726582025 41.672008993),,,,,
223334,2022,09/19/2023,North Haven,107 MOWRY ST,205530.00,480000.00,0.4281,Residential,Single Family,,,,POINT (-72.898638022 41.372986986),,,,,
223334,2022,06/07/2023,Newington,26 MILLBROOK CT,73680.00,138000.00,0.5339,Residential,Condo,25 - Other,NOT ADVERTISED FOR SALE,,POINT (-72.723981958 41.710980987),,,,,
223333,2022,09/18/2023,North Haven,64 COVENTRY CIR,190970.00,421000.00,0.4536,Residential,Single Family,,,,POINT (-72.83485199 41.419741996),,,,,
223333,2022,06/06/2023,Newington,50 HEMLOCK ST,140620.00,315000.00,0.4464,Residential,Single Family,25 - Other,AS IS SALE,,POINT (-72.741973965 41.689625993),,,,,
223332,2022,09/15/2023,North Haven,58 MANOR DR,161310.00,375500.00,0.4295,Residential,Single Family,,,,POINT (-72.857946983 41.353130006),,,,,
223332,2022,06/05/2023,Newington,77 BROADVIEW ST,220770.00,457000.00,0.4830,Residential,Single Family,,,,POINT (-72.732835008 41.68042501),,,,,
223331,2022,09/15/2023,North Haven,1952 HARTFORD TPKE,183840.00,250000.00,0.7354,Residential,Single Family,14 - Foreclosure,,,POINT (-72.860549983 41.420349014),,,,,
223331,2022,06/05/2023,Newington,160 HARDING AVE,137030.00,304500.00,0.4500,Residential,Single Family,,,,POINT (-72.733185036 41.709884005),,,,,
223330,2022,09/15/2023,North Haven,20 CRESTVIEW DR,357400.00,800000.00,0.4467,Residential,Single Family,,,,POINT (-72.894062005 41.369577018),,,,,
223330,2022,06/05/2023,Newington,80 MIAMI AVE,132230.00,311000.00,0.4251,Residential,Single Family,,,,POINT (-72.719005036 41.683942979),,,,,
22333,2022,09/21/2023,Montville,24 TORY DR,221620.00,410000.00,0.5405,Residential,Single Family,16 - Charitable Group,SOLD TO A CHARITABLE ORGANIZATION,,POINT (-72.111694995 41.494454006),,,,,
22333,2022,08/30/2023,Watertown,128 EVELYN STREET,166400.00,365000.00,0.4558,Residential,Single Family,,,,POINT (-73.095784994 41.579453001),,,,,
22333,2022,06/16/2023,Old Saybrook,12 MAPLE AVE,113000.00,300000.00,0.3766,Residential,Single Family,,,,POINT (-72.372320971 41.282775999),,,,,
223329,2022,09/14/2023,North Haven,64 BLEEKER CIR,297660.00,509173.00,0.5846,Residential,Condo,07 - Change in Property,NOT COMPLETE ON 10/01/2022,,POINT (-72.8608944 41.388683),,,,,
223329,2022,06/05/2023,Newington,41 STERLING DR,175840.00,330000.00,0.5328,Residential,Condo,,,,POINT (-72.748572031 41.709409003),,,,,
223328,2022,09/12/2023,North Haven,1553 HARTFORD TPKE,156440.00,320000.00,0.4888,Residential,Single Family,,,,POINT (-72.874407029 41.396410005),,,,,
223328,2022,06/05/2023,Newington,222 NICHOLSON ST,134340.00,175000.00,0.7676,Residential,Single Family,25 - Other,NOT BETWEEN A WILLING BUYER AND SELLER,,POINT (-72.748688037 41.671019006),,,,,
223327,2022,09/08/2023,North Haven,10 REVERE RD,272370.00,574000.00,0.4745,Residential,Single Family,,,,POINT (-72.832419981 41.403442003),,,,,
223327,2022,06/02/2023,Newington,141 CHERRY HILL DR,147520.00,329900.00,0.4472,Residential,Single Family,07 - Change in Property,SIGNIFICANT IMPROVEMENTS NOT YET ASSESSED,,POINT (-72.749269992 41.71922702),,,,,
223326,2022,09/07/2023,North Haven,1998 HARTFORD TPKE,220200.00,160750.00,1.3698,Residential,Single Family,25 - Other,SOLD WITH 370 KINGS HWY,,POINT (-72.859213991 41.42550401),,,,,
223326,2022,06/02/2023,Newington,804 CYPRESS RD,104540.00,220000.00,0.4751,Residential,Condo,25 - Other,NOT ADVERTISED FOR SALE,,POINT (-72.708822029 41.676528012),,,,,
223325,2022,09/07/2023,North Haven,370 KINGS HWY,96180.00,160750.00,0.5983,Vacant Land,,25 - Other,SOLD WITH 1998 HARTFORD TPKE,,POINT (-72.861629945 41.425131761),,,,,
223325,2022,06/02/2023,Newington,488 CHURCHILL DR,114060.00,221500.00,0.5149,Residential,Condo,,,,POINT (-72.716993966 41.677742005),,,,,
223324,2022,09/07/2023,North Haven,526 CLINTONVILLE RD,222160.00,430000.00,0.5166,Residential,Single Family,,,,POINT (-72.825780005 41.391098016),,,,,
223324,2022,06/02/2023,Newington,916 WILLARD AVE,238870.00,444900.00,0.5369,Residential,Single Family,07 - Change in Property,SIGNIFICANT IMPROVEMENTS NOT YET ASSESSED,,POINT (-72.731820732 41.69034252),,,,,
223323,2022,09/06/2023,North Haven,74 WAYLAND STR,167070.00,400000.00,0.4177,Residential,Single Family,07 - Change in Property,PROPERTY IMPROVED,,POINT (-72.902581037 41.373517016),,,,,
223323,2022,05/31/2023,Newington,49 WEBSTER CT,106880.00,270000.00,0.3959,Residential,Condo,,,GOOD SALE PER MLS,POINT (-72.723035977 41.654440985),,,,,
223322,2022,09/06/2023,North Haven,15 KATIE LN,208460.00,500000.00,0.4169,Residential,Single Family,,,,POINT (-72.836732973 41.389284004),,,,,
223322,2022,06/01/2023,Newington,266 GOODALE DR,173610.00,325000.00,0.5341,Residential,Single Family,25 - Other,AS IS SALE,,POINT (-72.711383036 41.688963991),,,,,
223321,2022,09/05/2023,North Haven,1400 HARTFORD TPKE #20,103730.00,276000.00,0.3758,Residential,Condo,,,,POINT (-72.879515967 41.38899399),,,,,
223321,2022,06/01/2023,Newington,35 EIGHTH ST,84760.00,148000.00,0.5727,Residential,Single Family,01 - Family,Family,,POINT (-72.75265603 41.676064996),,,,,
223320,2022,09/05/2023,North Haven,201 CLINTONVILLE RD,7257360.00,38230500.00,0.1898,Commercial,,22 - Money and Personal Property,PERSONAL PROPERTY INCLUDED,,POINT (-72.842556971 41.391103003),,,,,
223320,2022,05/30/2023,Newington,86 MAPLE HILL AVE,147350.00,276000.00,0.5338,Residential,Single Family,25 - Other,Subject to probate,,POINT (-72.744426007 41.692384017),,,,,
22332,2022,09/19/2023,Montville,11 ALLEN DR,142380.00,285000.00,0.4995,Residential,Single Family,,,,POINT (-72.112107972 41.469047997),,,,,
22332,2022,08/23/2023,Watertown,6 LILAC AVENUE,137500.00,335000.00,0.4104,Residential,Single Family,,,,POINT (-73.075343963 41.593943006),,,,,
22332,2022,06/16/2023,Old Saybrook,7 BUCK HILL RD,245700.00,540000.00,0.4550,Residential,Single Family,,,,POINT (-72.417772008 41.293646992),,,,,
223319,2022,09/01/2023,North Haven,67 SENTINEL HILL RD,195360.00,294000.00,0.6644,Residential,Single Family,14 - Foreclosure,,,POINT (-72.83218797 41.407097015),,,,,
223319,2022,05/26/2023,Newington,243 VINEYARD AVE,161290.00,340000.00,0.4743,Residential,Single Family,25 - Other,AS IS SALE,,POINT (-72.742088965 41.652882999),,,,,
223318,2022,08/31/2023,North Haven,6 SURREY DR,234860.00,489000.00,0.4802,Residential,Single Family,,,,POINT (-72.837177968 41.399755013),,,,,
